,Allotted Quota,Allotted Institute,Course,Alloted Category,R1,R2,Mop Up,Stray Vacancy,SP Stray Vacancy
0,All India,"Acharya Harihar Post Graduate Institute of Cancer,Cuttack,Manglabag Cuttack,Odisha,753007",M.D. (ANAESTHESIOLOGY),ST,47316,-,-,-,-
1,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (RADIO-DIAGNOSIS),Open,2071,-,-,-,-
2,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (GENERAL MEDICINE),Open,2629,-,-,-,-
3,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (RADIO-DIAGNOSIS),OBC,3451,-,-,-,-
4,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (PAEDIATRICS),Open,5342,-,-,-,-
5,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (GENERAL MEDICINE),OBC,5382,-,-,-,-
6,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (Tuberculosis and Respiratory diseases)/Pulmonary Medicine /M.D.(Respiratory Medicine),Open,6488,-,-,-,-
7,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (ORTHOPAEDICS),OBC,7145,-,-,-,-
8,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (GENERAL SURGERY),Open,7840,-,-,-,-
9,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Open,8177,-,-,-,-
10,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (ANAESTHESIOLOGY),Open,11176,-,-,-,-
11,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",MD/MS (Anatomy),Open,11593,-,-,-,-
12,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (GENERAL SURGERY),EWS,11761,-,-,-,-
13,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (GENERAL SURGERY),OBC,12043,-,-,-,-
14,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (ORTHOPAEDICS),EWS,12228,-,-,-,-
15,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (E.N.T.),OBC,13534,-,-,-,-
16,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (GENERAL MEDICINE),SC,15242,-,-,-,-
17,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (OPHTHALMOLOGY),OBC,16553,-,-,-,-
18,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (ANAESTHESIOLOGY),OBC,18156,-,-,-,-
19,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (E.N.T.),EWS,22307,-,-,-,-
20,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (GENERAL SURGERY),SC,23329,-,-,-,-
21,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (RADIO-DIAGNOSIS),ST,23343,-,-,-,-
22,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,OBC,27245,-,-,-,-
23,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (PSYCHIATRY),SC,27708,-,-,-,-
24,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (PATHOLOGY),OBC,27931,-,-,-,-
25,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (GENERAL MEDICINE),ST,28734,-,-,-,-
26,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (MICROBIOLOGY),Open,30938,-,-,-,-
27,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (OPHTHALMOLOGY),SC,32223,-,-,-,-
28,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (PHARMACOLOGY),Open,47477,-,-,-,-
29,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.S. (ORTHOPAEDICS),ST,47484,-,-,-,-
30,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (BIOCHEMISTRY),Open,56524,-,-,-,-
31,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (FORENSIC MEDICINE),Open,57629,-,-,-,-
32,All India,"Agartala Government Medical College,Agartala Government Medical College,Tripura,799006",M.D. (PHARMACOLOGY),SC,61363,-,-,-,-
